nivel,portugues,frances
A1,a família,la famille
A1,o irmão,le frère
A1,a irmã,la sœur
A1,o pai,le père
A1,a mãe,la mère
A1,o amigo,l'ami
A1,a escola,l'école
A1,o livro,le livre
A1,o professor,le professeur
A1,a água,l'eau
A1,o pão,le pain
A1,a maçã,la pomme
A1,o café,le café
A1,a casa,la maison
A1,o carro,la voiture
A1,o peixe,le poisson
A1,a carne,la viande
A1,o dia,le jour
A1,a noite,la nuit
A1,o tempo,le temps
A1,a rua,la rue
B1,o desenvolvimento,le développement
B1,a melhoria,l'amélioration
B1,o comportamento,le comportement
B1,o desemprego,le chômage
B1,a cidadania,la citoyenneté
B1,a greve,la grève
B1,o orçamento,le budget
B1,o aquecimento global,le réchauffement climatique
B1,a reciclagem,le recyclage
B1,o voluntariado,le bénévolat
B1,a sondagem / pesquisa de opinião,le sondage
B1,o testemunho,le témoignage
B1,a publicidade,la publicité
B1,o consumidor,le consommateur
B1,a assinatura (de revista/serviço),l'abonnement
B1,a imigração,l'immigration
B1,a integração,l'intégration
B1,a tolerância,la tolérance
B1,a desigualdade,l'inégalité
B1,a justiça,la justice
B1,o direito,le droit
B1,o dever,le devoir
B1,a segurança,la sécurité
B1,a violência,la violence
B2,o crescimento económico,la croissance économique
B2,a inteligência artificial,l'intelligence artificielle
B2,a pegada de carbono,l'empreinte carbone
B2,o desenvolvimento sustentável,le développement durable
B2,as energias renováveis,les énergies renouvelables
B2,a fuga de cérebros,la fuite des cerveaux
B2,o poder de compra,le pouvoir d'achat
B2,a taxa de desemprego,le taux de chômage
B2,a globalização,la mondialisation
B2,o teletrabalho,le télétravail
B2,a precaridade,la précarité
B2,a discriminação,la discrimination
B2,a igualdade de oportunidades,l'égalité des chances
B2,a liberdade de expressão,la liberté d'expression
B2,o poder político,le pouvoir politique
B2,a infraestrutura,l'infrastructure
B2,o investimento,l'investissement
B2,a inflação,l'inflation
B2,a recessão,la récession
B2,o mercado de ações,le marché boursier
B2,a concorrência,la concurrence
B2,o acionista,l'actionnaire
B2,a fusão (de empresas),la fusion
B2,a inovação tecnológica,l'innovation technologique
B2,a soberania,la souveraineté
A1,grande,grand
A1,pequeno,petit
A1,bonito,beau
A1,feio,laid
A1,novo,nouveau
A1,velho,vieux
A1,jovem,jeune
A1,feliz,heureux
A1,triste,triste
A1,cansado,fatigué
A1,doente,malade
A1,forte,fort
A1,fraco,faible
A1,rápido,rapide
A1,lento,lent
A1,fácil,facile
A1,difícil,difficile
A1,caro,cher
A1,barato,bon marché
A1,quente,chaud
A1,frio,froid
A1,limpo,propre
A1,sujo,sale
A1,cheio,plein
A1,vazio,vide
A1,alto,haut
A1,baixo,bas
A1,longo,long
A1,curto,court
A1,gordo,gros
A1,magro,mince
A1,inteligente,intelligent
A1,bobo,bête
A1,legal,sympa
A1,gentil,gentil
A1,mau,méchant
A1,educado,poli
A1,calmo,calme
A1,nervoso,nerveux
A1,ocupado,occupé
A1,livre,libre
A1,importante,important
A1,interessante,intéressant
A1,engraçado,drôle
A1,sério,sérieux
A1,simples,simple
A1,complicado,compliqué
A1,claro,clair
A1,escuro,sombre
A1,aberto,ouvert
A1,fechado,fermé
A1,pronto,prêt
A1,atrasado,en retard
A1,cedo,tôt
A1,ruidoso,bruyant
A1,silencioso,silencieux
A1,macio,doux
A1,duro,dur
A1,seco,sec
A1,molhado,mouillé
A1,saudável,sain
A1,perigoso,dangereux
A1,seguro,sûr
A1,amigável,amical
A1,tímido,timide
A1,aberto (sociável),ouvert
A1,fechado (introvertido),réservé
A1,curioso,curieux
A1,preguiçoso,paresseux
A1,ativo,actif
A1,passivo,passif
A1,amarelo,jaune
A1,azul,bleu
A1,verde,vert
A1,vermelho,rouge
A1,branco,blanc
A1,preto,noir
A1,marrom,marron
A1,cinza,gris
A1,rosa,rose
A1,laranja,orange
A1,roxo,violet
A1,delicioso,délicieux
A1,amargo,amer
A1,doce,sucré
A1,salgado,salé
A1,picante,épicé
A1,famoso,célèbre
A1,pobre,pauvre
A1,rico,riche
A1,casado,marié
A1,solteiro,célibataire
A1,possível,possible
A1,impossível,impossible
A1,verdadeiro,vrai
A1,falso,faux
A1,correto,correct
A1,errado,faux
A1,necessário,nécessaire
A1,útil,utile
A1,inútil,inutile
A1,ocupado,pris
A1,disponível,disponible
A1,alegre,joyeux
A1,ansioso,anxieux
A1,corajoso,courageux
A1,medroso,peureux
A1,educada,polie
A1,honesto,honnête
A1,desonesto,malhonnête
A1,criativo,créatif
A1,talentoso,talentueux
A1,organizado,organisé
A1,desorganizado,désorganisé
A1,paciente,patient
A1,impaciente,impatient
A1,generoso,généreux
A1,egoísta,égoïste
A1,amável,aimable
A1,grosseiro,grossier
A1,simpático,sympathique
A1,antipático,antipathique
A1,positivo,positif
A1,negativo,négatif
A1,otimista,optimiste
A1,pessimista,pessimiste
A1,barulhento,bruyant
A1,tranquilo,tranquille
A1,sensível,sensible
A1,independente,indépendant
A1,responsável,responsable
A1,irresponsável,irresponsable
A1,confortável,confortable
A1,inconfortável,inconfortable
A1,moderno,moderne
A1,antigo,ancien
A1,popular,populaire
A1,conhecido,connu
A1,desconhecido,inconnu
A1,diferente,différent
A1,igual,pareil
A1,normal,normal
A1,especial,spécial
A1,maravilhoso,merveilleux
A1,horrível,horrible
A1,excelente,excellent
A1,péssimo,mauvais
A1,perfeito,parfait
A1,incorreto,incorrect
A1,agradável,agréable
A1,desagradável,désagréable
A1,leve,léger
A1,pesado,lourd
A1,estreito,étroit
A1,largo,large
